--------- beginning of main
08-17 12:26:14.198 W/ReactNativeJS( 7425): Require cycle: src/features/navigation/sectionRegistry.ts -> src/features/i18n/featureUiCatalog.ts -> src/features/i18n/uiI18n.ts -> src/features/i18n/uiStringCatalog.ts -> src/features/navigation/sectionRegistry.ts
08-17 12:26:14.198 W/ReactNativeJS( 7425): 
08-17 12:26:14.198 W/ReactNativeJS( 7425): Require cycles are allowed, but can result in uninitialized values. Consider refactoring to remove the need for a cycle.
08-17 12:26:15.596 I/ReactNativeJS( 7425): '[VoIP] WebRTC module loaded', { module: 'react-native-webrtc',
08-17 12:26:15.596 I/ReactNativeJS( 7425):   hasPeerConnection: true,
08-17 12:26:15.596 I/ReactNativeJS( 7425):   hasMediaDevices: true }
08-17 12:26:16.344 W/ReactNativeJS( 7425): This method is deprecated (as well as all React Native Firebase namespaced API) and will be removed in the next major release as part of move to match Firebase Web modular SDK API. Please see migration guide for more details: https://rnfirebase.io/migrating-to-v22 Please use `getApps()` instead.
08-17 12:26:16.363 W/ReactNativeJS( 7425): This method is deprecated (as well as all React Native Firebase namespaced API) and will be removed in the next major release as part of move to match Firebase Web modular SDK API. Please see migration guide for more details: https://rnfirebase.io/migrating-to-v22 Please use `initializeApp()` instead.
08-17 12:26:16.376 W/ReactNativeJS( 7425): This method is deprecated (as well as all React Native Firebase namespaced API) and will be removed in the next major release as part of move to match Firebase Web modular SDK API. Please see migration guide for more details: https://rnfirebase.io/migrating-to-v22 Please use `getApps()` instead.
08-17 12:26:16.389 W/ReactNativeJS( 7425): This method is deprecated (as well as all React Native Firebase namespaced API) and will be removed in the next major release as part of move to match Firebase Web modular SDK API. Please see migration guide for more details: https://rnfirebase.io/migrating-to-v22 Please use `getApp()` instead.
08-17 12:26:16.566 I/ReactNativeJS( 7425): Running "main" with {"rootTag":1,"initialProps":{},"fabric":true}
08-17 12:26:21.855 I/ReactNativeJS( 7425): '[UI_PRESS_PROBE]', '{"event":"NETWORK_TRANSPORT_CHANGED","timestamp":"2026-08-17T03:26:21.852Z","token_ready":false,"user_ready":false,"show_login":false,"show_voip_tester":false,"selected_call_mode":"pstn_assist","transport":"unknown","cellular_generation":null,"label":"알 수 없음","is_connected":false,"is_internet_reachable":null,"carrier":null,"ssid":null,"is_accurate_voip_test_ready":false,"previous_label":null}'
08-17 12:26:21.974 I/ReactNativeJS( 7425): '[WORLDLINGCO_API] base_url', 'https://metanova1004.com'
08-17 12:26:22.105 I/ReactNativeJS( 7425): [VoIPToneService] AudioContext not available (React Native environment)
08-17 12:26:22.325 I/ReactNativeJS( 7425): '[UI_PRESS_PROBE]', '{"event":"SORISAE_FAB_VISIBLE_EVAL","timestamp":"2026-08-17T03:26:22.322Z","token_ready":false,"user_ready":false,"show_login":false,"show_voip_tester":false,"selected_call_mode":"pstn_assist","visible":false,"platform":"android","sorisae_fab_setting":true,"pending_incoming_voip":false,"voip_call_active":false,"sorisae_window_open":false}'
08-17 12:26:22.377 I/ReactNativeJS( 7425): '[FACE_CONVERSATION]', '{"event":"silero_probe","supported":false}'
08-17 12:26:23.466 I/ReactNativeJS( 7425): '[WORLDLINGCO_TUNING]', '{"event":"remote_loaded","updated_at":"2026-08-14T06:06:31Z","version":6}'
08-17 12:26:43.099 I/ReactNativeJS( 7425): '[UI_PRESS_PROBE]', '{"event":"LOGIN_BUTTON_PRESS","timestamp":"2026-08-17T03:26:43.097Z","token_ready":false,"user_ready":false,"show_login":false,"show_voip_tester":false,"selected_call_mode":"pstn_assist","source":"header_account_row"}'
08-17 12:26:50.669 I/ReactNativeJS( 7425): '[AUTH_INPUT_PROBE]', '{"event":"EMAIL_FOCUS","timestamp":"2026-08-17T03:26:50.666Z","show_login":true,"focus_field":"NONE","email_length":0,"password_length":0}'
08-17 12:27:01.663 I/ReactNativeJS( 7425): '[AUTH_INPUT_PROBE]', '{"event":"EMAIL_CHANGE","timestamp":"2026-08-17T03:27:01.661Z","show_login":true,"focus_field":"EMAIL","email_length":0,"password_length":0,"next_length":1}'
08-17 12:27:02.174 I/ReactNativeJS( 7425): '[AUTH_INPUT_PROBE]', '{"event":"EMAIL_CHANGE","timestamp":"2026-08-17T03:27:02.172Z","show_login":true,"focus_field":"EMAIL","email_length":1,"password_length":0,"next_length":2}'
08-17 12:27:02.177 I/ReactNativeJS( 7425): '[AUTH_INPUT_PROBE]', '{"event":"EMAIL_CHANGE","timestamp":"2026-08-17T03:27:02.175Z","show_login":true,"focus_field":"EMAIL","email_length":1,"password_length":0,"next_length":3}'
08-17 12:27:02.179 I/ReactNativeJS( 7425): '[AUTH_INPUT_PROBE]', '{"event":"EMAIL_CHANGE","timestamp":"2026-08-17T03:27:02.178Z","show_login":true,"focus_field":"EMAIL","email_length":1,"password_length":0,"next_length":4}'
08-17 12:27:02.182 I/ReactNativeJS( 7425): '[AUTH_INPUT_PROBE]', '{"event":"EMAIL_CHANGE","timestamp":"2026-08-17T03:27:02.180Z","show_login":true,"focus_field":"EMAIL","email_length":1,"password_length":0,"next_length":5}'
08-17 12:27:02.186 I/ReactNativeJS( 7425): '[AUTH_INPUT_PROBE]', '{"event":"EMAIL_CHANGE","timestamp":"2026-08-17T03:27:02.183Z","show_login":true,"focus_field":"EMAIL","email_length":1,"password_length":0,"next_length":6}'
08-17 12:27:02.189 I/ReactNativeJS( 7425): '[AUTH_INPUT_PROBE]', '{"event":"EMAIL_CHANGE","timestamp":"2026-08-17T03:27:02.187Z","show_login":true,"focus_field":"EMAIL","email_length":1,"password_length":0,"next_length":7}'
08-17 12:27:02.191 I/ReactNativeJS( 7425): '[AUTH_INPUT_PROBE]', '{"event":"EMAIL_CHANGE","timestamp":"2026-08-17T03:27:02.190Z","show_login":true,"focus_field":"EMAIL","email_length":1,"password_length":0,"next_length":8}'
08-17 12:27:02.194 I/ReactNativeJS( 7425): '[AUTH_INPUT_PROBE]', '{"event":"EMAIL_CHANGE","timestamp":"2026-08-17T03:27:02.192Z","show_login":true,"focus_field":"EMAIL","email_length":1,"password_length":0,"next_length":9}'
08-17 12:27:02.196 I/ReactNativeJS( 7425): '[AUTH_INPUT_PROBE]', '{"event":"EMAIL_CHANGE","timestamp":"2026-08-17T03:27:02.195Z","show_login":true,"focus_field":"EMAIL","email_length":1,"password_length":0,"next_length":10}'
08-17 12:27:02.198 I/ReactNativeJS( 7425): '[AUTH_INPUT_PROBE]', '{"event":"EMAIL_CHANGE","timestamp":"2026-08-17T03:27:02.197Z","show_login":true,"focus_field":"EMAIL","email_length":1,"password_length":0,"next_length":11}'
08-17 12:27:02.676 I/ReactNativeJS( 7425): '[AUTH_INPUT_PROBE]', '{"event":"EMAIL_CHANGE","timestamp":"2026-08-17T03:27:02.675Z","show_login":true,"focus_field":"EMAIL","email_length":11,"password_length":0,"next_length":12}'
08-17 12:27:02.679 I/ReactNativeJS( 7425): '[AUTH_INPUT_PROBE]', '{"event":"EMAIL_CHANGE","timestamp":"2026-08-17T03:27:02.677Z","show_login":true,"focus_field":"EMAIL","email_length":11,"password_length":0,"next_length":13}'
08-17 12:27:02.681 I/ReactNativeJS( 7425): '[AUTH_INPUT_PROBE]', '{"event":"EMAIL_CHANGE","timestamp":"2026-08-17T03:27:02.680Z","show_login":true,"focus_field":"EMAIL","email_length":11,"password_length":0,"next_length":14}'
