--------- beginning of main
08-16 06:32:54.144 I/ReactNativeJS(17153): '[DEEP_LINK_TRACE]', '{"source":"runtime_url","raw_url":"worldlingo://invite?code=WLROUND1"}'
08-16 06:32:54.147 I/ReactNativeJS(17153): '[DEEP_LINK_TRACE_PARSE]', '{"source":"runtime_url","raw_url":"worldlingo://invite?code=WLROUND1","scheme":"worldlingo","resolved_path":"invite","entry_target":null}'
08-16 06:32:54.148 I/ReactNativeJS(17153): '[DEEP_LINK_TRACE_REJECT]', '{"source":"runtime_url","raw_url":"worldlingo://invite?code=WLROUND1","scheme":"worldlingo","resolved_path":"invite","reason":"no_app_entry_target"}'
08-16 06:32:54.317 I/ReactNativeJS(17153): '[DEEP_LINK_TRACE]', '{"source":"active_initial_url","raw_url":"worldlingo://invite?code=WLROUND1"}'
08-16 06:32:54.318 I/ReactNativeJS(17153): '[DEEP_LINK_TRACE_PARSE]', '{"source":"active_initial_url","raw_url":"worldlingo://invite?code=WLROUND1","scheme":"worldlingo","resolved_path":"invite","entry_target":null}'
08-16 06:32:54.319 I/ReactNativeJS(17153): '[DEEP_LINK_TRACE_REJECT]', '{"source":"active_initial_url","raw_url":"worldlingo://invite?code=WLROUND1","scheme":"worldlingo","resolved_path":"invite","reason":"no_app_entry_target"}'
08-16 06:32:54.588 I/ReactNativeJS(17153): '[WORLDLINGCO_TUNING]', '{"event":"remote_loaded","updated_at":"2026-08-14T06:06:31Z","version":6}'
08-16 06:32:54.693 I/ReactNativeJS(17153): '[DEEP_LINK_TRACE]', '{"source":"runtime_url_followup_initial","raw_url":"worldlingo://invite?code=WLROUND1"}'
08-16 06:32:54.694 I/ReactNativeJS(17153): '[DEEP_LINK_TRACE_PARSE]', '{"source":"runtime_url_followup_initial","raw_url":"worldlingo://invite?code=WLROUND1","scheme":"worldlingo","resolved_path":"invite","entry_target":null}'
08-16 06:32:54.694 I/ReactNativeJS(17153): '[DEEP_LINK_TRACE_REJECT]', '{"source":"runtime_url_followup_initial","raw_url":"worldlingo://invite?code=WLROUND1","scheme":"worldlingo","resolved_path":"invite","reason":"no_app_entry_target"}'
08-16 06:33:00.260 I/ReactNativeJS(17153): '[DEEP_LINK_TRACE]', '{"source":"runtime_url","raw_url":"worldlingo://sales?code=WSROUND1"}'
08-16 06:33:00.261 I/ReactNativeJS(17153): '[DEEP_LINK_TRACE_PARSE]', '{"source":"runtime_url","raw_url":"worldlingo://sales?code=WSROUND1","scheme":"worldlingo","resolved_path":"sales","entry_target":null}'
08-16 06:33:00.261 I/ReactNativeJS(17153): '[DEEP_LINK_TRACE_REJECT]', '{"source":"runtime_url","raw_url":"worldlingo://sales?code=WSROUND1","scheme":"worldlingo","resolved_path":"sales","reason":"no_app_entry_target"}'
08-16 06:33:00.400 I/ReactNativeJS(17153): '[DEEP_LINK_TRACE]', '{"source":"active_initial_url","raw_url":"worldlingo://sales?code=WSROUND1"}'
08-16 06:33:00.401 I/ReactNativeJS(17153): '[DEEP_LINK_TRACE_PARSE]', '{"source":"active_initial_url","raw_url":"worldlingo://sales?code=WSROUND1","scheme":"worldlingo","resolved_path":"sales","entry_target":null}'
08-16 06:33:00.401 I/ReactNativeJS(17153): '[DEEP_LINK_TRACE_REJECT]', '{"source":"active_initial_url","raw_url":"worldlingo://sales?code=WSROUND1","scheme":"worldlingo","resolved_path":"sales","reason":"no_app_entry_target"}'
08-16 06:33:00.696 I/ReactNativeJS(17153): '[WORLDLINGCO_TUNING]', '{"event":"remote_loaded","updated_at":"2026-08-14T06:06:31Z","version":6}'
08-16 06:33:00.801 I/ReactNativeJS(17153): '[DEEP_LINK_TRACE]', '{"source":"runtime_url_followup_initial","raw_url":"worldlingo://sales?code=WSROUND1"}'
08-16 06:33:00.802 I/ReactNativeJS(17153): '[DEEP_LINK_TRACE_PARSE]', '{"source":"runtime_url_followup_initial","raw_url":"worldlingo://sales?code=WSROUND1","scheme":"worldlingo","resolved_path":"sales","entry_target":null}'
08-16 06:33:00.802 I/ReactNativeJS(17153): '[DEEP_LINK_TRACE_REJECT]', '{"source":"runtime_url_followup_initial","raw_url":"worldlingo://sales?code=WSROUND1","scheme":"worldlingo","resolved_path":"sales","reason":"no_app_entry_target"}'
